player;session;level;action;time;state;timestamp
172672884;B5E821B046054D37C48CB2B44A50617D;Velocidad_y_fuerza;1;108;"Resorte2der; rocaOro_Sprite; 50; Player 0";2020-12-03 01:55:17.625709
172672884;B5E821B046054D37C48CB2B44A50617D;Velocidad_y_fuerza;3;108;Final del nivel;2020-12-03 01:55:17.726868
172672884;B5E821B046054D37C48CB2B44A50617D;Velocidad_y_fuerza;1;108;"Resorte2der; rocaOro_Sprite; 50; Player 0";2020-12-03 01:55:18.029701
172672884;B5E821B046054D37C48CB2B44A50617D;Velocidad_y_fuerza;3;108;Puntaje Total: 88720;2020-12-03 01:55:46.403612
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;6;"Palanca_Lever4; Light_source_2; Rotación Total Positiva: 0.0; Rotación Total Negativa: 0.0; Player 0";2020-12-03 01:58:23.959637
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;7;"Palanca_Lever4; Light_source_2; Rotación Total Positiva: 0.0; Rotación Total Negativa: 0.0; Player 0";2020-12-03 01:58:24.780236
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;9;"Palanca_Lever4; Light_source_2; Rotación Total Positiva: 0.0; Rotación Total Negativa: 0.0; Player 0";2020-12-03 01:58:25.834949
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;10;"Palanca_Lever4; Light_source_2; Rotación Total Positiva: 0.0; Rotación Total Negativa: 0.0; Player 0";2020-12-03 01:58:27.132940
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;19;"Palanca_Lever4; Light_source_2; Rotación Total Positiva: 0.0; Rotación Total Negativa: 0.0; Player 0";2020-12-03 01:58:36.791079
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;19;"Palanca_Lever4; Light_source_2; Rotación Total Positiva: 0.0; Rotación Total Negativa: 0.0; Player 0";2020-12-03 01:58:37.208274
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;20;"Palanca_Lever4; Light_source_2; Rotación Total Positiva: 0.0; Rotación Total Negativa: 0.0; Player 0";2020-12-03 01:58:37.263132
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;20;"Palanca_Lever4; Light_source_2; Rotación Total Positiva: 0.0; Rotación Total Negativa: 0.0; Player 0";2020-12-03 01:58:37.812895
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;32;"Palanca_Lever5; Mirror6; Rotación Total Positiva: 0.0; Rotación Total Negativa: 0.0; Player 1";2020-12-03 01:58:49.489483
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;53;"Palanca_Lever4; Light_source_2; Rotación Total Positiva: 49.5; Rotación Total Negativa: -7.0; Player 0";2020-12-03 01:59:10.711177
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;59;"Palanca_Lever5; Mirror6; Rotación Total Positiva: 0.0; Rotación Total Negativa: -5.5; Player 1";2020-12-03 01:59:17.122383
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;66;"Palanca_Lever5; Mirror6; Rotación Total Positiva: 36.0; Rotación Total Negativa: -10.5; Player 1";2020-12-03 01:59:23.145804
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;74;"Palanca_Lever4; Light_source_2; Rotación Total Positiva: 2.0; Rotación Total Negativa: -1.5; Player 0";2020-12-03 01:59:31.554719
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;82;"Palanca_Lever5; Mirror6; Rotación Total Positiva: 6.0; Rotación Total Negativa: -1.0; Player 1";2020-12-03 01:59:39.372570
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;85;"Palanca_Lever6; Mirror3_0; Rotación Total Positiva: 0.0; Rotación Total Negativa: 0.0; Player 0";2020-12-03 01:59:42.211984
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;92;"Palanca_Lever6; Mirror3_0; Rotación Total Positiva: 10.5; Rotación Total Negativa: -27.5; Player 0";2020-12-03 01:59:49.763137
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;93;"Palanca_Lever3; Mirror5; Rotación Total Positiva: 0.0; Rotación Total Negativa: 0.0; Player 0";2020-12-03 01:59:50.793212
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;118;"Palanca_Lever4; Light_source_2; Rotación Total Positiva: 14.0; Rotación Total Negativa: -12.0; Player 0";2020-12-03 02:00:15.522433
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;122;"Palanca_Lever1; Mirror; Rotación Total Positiva: 0.0; Rotación Total Negativa: 0.0; Player 0";2020-12-03 02:00:19.439435
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;129;"Palanca_Lever1; Mirror; Rotación Total Positiva: 15.0; Rotación Total Negativa: 0.0; Player 0";2020-12-03 02:00:26.606009
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;170;"Palanca_Lever4; Light_source_2; Rotación Total Positiva: 64.0; Rotación Total Negativa: -12.5; Player 0";2020-12-03 02:01:07.365872
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;173;"Palanca_Lever4; Light_source_2; Rotación Total Positiva: 2.0; Rotación Total Negativa: -3.5; Player 0";2020-12-03 02:01:10.244109
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;183;"Palanca_Lever3; Mirror5; Rotación Total Positiva: 5.5; Rotación Total Negativa: -42.0; Player 0";2020-12-03 02:01:20.360561
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;195;"Palanca_Lever5; Mirror6; Rotación Total Positiva: 8.5; Rotación Total Negativa: -32.0; Player 1";2020-12-03 02:01:32.773007
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;200;"Palanca_Lever2; Mirror2_2; Rotación Total Positiva: 0.0; Rotación Total Negativa: 0.0; Player 1";2020-12-03 02:01:37.625130
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;208;"Palanca_Lever2; Mirror2_2; Rotación Total Positiva: 11.0; Rotación Total Negativa: -1.5; Player 1";2020-12-03 02:01:45.501972
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;210;"Palanca_Lever2; Mirror2_2; Rotación Total Positiva: 7.0; Rotación Total Negativa: -7.5; Player 1";2020-12-03 02:01:47.786343
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;245;"Palanca_Lever4; Light_source_2; Rotación Total Positiva: 10.5; Rotación Total Negativa: -60.5; Player 0";2020-12-03 02:02:22.481563
